topic,keyword,filename,row_number,message
Get Privilege Profile,/customer-infos,profile_Plivilage.csv,36,"info |2214718d-916742252f0f-f9-29f4492|trueapp20260422134139757873|trueapp20260422134139763394|trueapp|b0c16df4e7b53ea7c67f778b07eeddfe|tmh|pool-1445-thread-1|async|t.c.t.c.service.externalservice|[externalservice][request][trueapp20260422134139757873][803] get https://partner-api.truecorp.co.th/loyalty/v1/profiles/customer-infos?identifier_no=nfn6btyzdlsgfbmqoxqyppgyp6lddv0ozfdujb6ipcc=&extensions=true_card,account_grade,additional_data,address,point_expire_forecast&identifier_type=mobile&fields=cust_title;cust_firstname;cust_lastname;redemption_enabled;is_employee;has_product;has_true_id;citizen;birthdate;main_points_balance;account_uuid;is_verify_customer;mobile_operator;multiplier;point_expire_forecast;firstname;lastname;has_card;true_card;account_grade;additional_data;address, epreqtimeout=8000, epcontimeout=8000, eppooltimeout=5000, epreqheader=[content-type:""application/json"", channel:""trueapp"", x-correlation-id:""trueapp20260422134139757873"", authorization:""6qg8wn3kkejozeh1gc6ezrljkksm9ahauyahibgidopzwkqq"", x-user-id:""60001""], epreqbody=null, epmaxtotalcon=50, epmaxperroutecon=20, eppoolavailable=0, eppoolpending=0, eppoolinused(leased)=0"
Get Privilege Profile,/customer-infos,profile_Plivilage.csv,37,"debug|2214718d-916742252f0f-f9-29f4492|trueapp20260422134139757873|trueapp20260422134139763394|trueapp|b0c16df4e7b53ea7c67f778b07eeddfe|tmh|pool-1445-thread-1|async|o.s.web.client.resttemplate|http get https://partner-api.truecorp.co.th/loyalty/v1/profiles/customer-infos?identifier_no=nfn6btyzdlsgfbmqoxqyppgyp6lddv0ozfdujb6ipcc=&extensions=true_card,account_grade,additional_data,address,point_expire_forecast&identifier_type=mobile&fields=cust_title;cust_firstname;cust_lastname;redemption_enabled;is_employee;has_product;has_true_id;citizen;birthdate;main_points_balance;account_uuid;is_verify_customer;mobile_operator;multiplier;point_expire_forecast;firstname;lastname;has_card;true_card;account_grade;additional_data;address"
Get Privilege Profile,/point-expire-forecasts,profile_Plivilage.csv,60,debug|2214718d-916742252f0f-f9-29f4492|trueapp20260422134139757873|trueapp20260422134139763394|trueapp|b0c16df4e7b53ea7c67f778b07eeddfe|tmh|pool-1445-thread-1|async|o.s.web.client.resttemplate|http get https://partner-api.truecorp.co.th/loyalty/v1/profiles/point-expire-forecasts?identifier_no=nfn6btyzdlsgfbmqoxqyppgyp6lddv0ozfdujb6ipcc=&identifier_type=mobile
Get Privilege Profile,/point-expire-forecasts,profile_Plivilage.csv,61,"info |2214718d-916742252f0f-f9-29f4492|trueapp20260422134139757873|trueapp20260422134139763394|trueapp|b0c16df4e7b53ea7c67f778b07eeddfe|tmh|pool-1445-thread-1|async|t.c.t.c.service.externalservice|[externalservice][request][trueapp20260422134139757873][977] get https://partner-api.truecorp.co.th/loyalty/v1/profiles/point-expire-forecasts?identifier_no=nfn6btyzdlsgfbmqoxqyppgyp6lddv0ozfdujb6ipcc=&identifier_type=mobile, epreqtimeout=8000, epcontimeout=8000, eppooltimeout=5000, epreqheader=[content-type:""application/json"", channel:""trueapp"", x-correlation-id:""trueapp20260422134139757873"", authorization:""6qg8wn3kkejozeh1gc6ezrljkksm9ahauyahibgidopzwkqq"", x-user-id:""60001""], epreqbody=null, epmaxtotalcon=50, epmaxperroutecon=20, eppoolavailable=0, eppoolpending=0, eppoolinused(leased)=0"
